Tatsumaki#8792,0,0,373,0,3,0,381,12282,0,0,0,0,0,0,0,0
Necro#4608,17,0,8,0,0,6,1,853,0,0,0,0,0,0,0,0
SuperGummying#7574,55,132,301,25,3265,5727,192,66741,0,0,2,0,0,0,0,2
Ayana#8911,116,0,36,0,4,11,341,18587,0,0,0,0,0,0,0,0
willofd2011#9368,0,0,50,0,407,114,0,7969,0,0,0,0,0,0,0,0
Dragonite#7992,65,82,324,65,2815,1089,118,30290,0,0,2,0,0,0,0,0
EyanSays#2557,60,0,300,10,293,155,454,4649,0,0,5,0,0,0,0,1
Master9000#7819,358,2,439,9,663,1844,23,24599,0,0,1,0,0,0,0,0
Neon Strike Kitty#7107,4,2,81,2,678,1266,144,14113,0,0,0,0,0,0,0,1
Kugallyblitz#5116,2,0,87,5,226,468,110,13355,0,0,0,0,0,0,0,0
Aqua033#1178,18,0,6,0,34,88,19,2231,0,0,0,0,0,0,0,0
Deino Mite#2279,1,0,175,1,62,448,239,5197,0,0,1,0,0,0,0,0
Deci#4905,39,0,15,0,30,92,10,1948,0,0,0,0,0,0,0,0
Inferno#4358,0,0,5,0,32,32,12,634,0,0,0,0,0,0,0,0
VortexOA#4922,1,0,3,0,5,33,6,797,0,0,0,0,0,0,0,0
Kireina#0586,40,3,85,3,151,362,54,11931,0,0,0,0,0,0,0,0
Crow_Songs#4830,6,0,0,0,3,24,1,758,0,0,0,0,0,0,0,0
superheronerd#4117,0,0,8,0,235,529,253,10973,0,0,0,0,0,0,0,0
Strike#1382,0,0,0,1,0,5,2,71,0,0,0,0,0,0,0,0
Demon Lord 93#6056,0,0,4,0,0,3,8,246,0,0,0,0,0,0,0,0
Psps00#9227,0,0,1,0,0,2,5,56,0,0,0,0,0,0,0,0
Pogi#8259,8,0,16,0,0,34,0,354,0,0,0,0,0,0,0,0
JelloHammer#4364,1,0,30,0,13,113,22,2263,0,0,0,0,0,0,0,0
DouG#7542,0,0,1,0,0,3,0,39,0,0,0,0,0,0,0,0
KingofZeal#6531,7,0,82,0,30,130,4,4177,0,0,0,0,0,0,0,0
JoeDan54#0641,0,0,5,0,1,12,6,334,0,0,0,0,0,0,0,0
OmoBio#4193,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Luckyskarm#1263,13,0,23,0,117,159,22,2106,0,0,0,0,0,0,0,0
Skarmory127#0414,0,0,0,0,1,6,2,113,0,0,0,0,0,0,0,0
regal swan#1334,0,0,15,1,7,146,2,1715,0,0,0,0,0,0,0,0
PKMN03#2867,1,0,6,0,59,69,13,1604,0,0,0,0,0,0,0,0
Divexz#4826,0,0,0,0,1,4,1,147,0,0,0,0,0,0,0,0
MajesticEclipse02#6358,7,10,28,0,181,701,49,5733,0,0,0,0,0,0,0,0
Zaranius#4608,1,0,8,0,1,14,8,196,0,0,0,0,0,0,0,0
ToxicXplosion Gaming#8055,0,0,0,0,0,4,2,25,0,0,0,0,0,0,0,0
Zack (Gamdin)#9221,0,0,1,0,0,3,0,23,0,0,0,0,0,0,0,0
Zek#6941,0,0,4,0,0,6,1,288,0,0,0,0,0,0,0,0
cadance#6458,24,0,51,1,24,137,0,3673,0,0,0,0,0,0,0,0
Lennán#0417,0,0,0,0,0,3,0,94,0,0,0,0,0,0,0,0
Seff The Killer#3916,0,0,9,0,0,6,0,165,0,0,0,0,0,0,0,0
majora#8356,0,0,0,0,0,1,1,17,0,0,0,0,0,0,0,0
wolverale12#1459,8,0,35,1,673,914,259,15323,0,0,0,0,0,0,0,0
wunderfizz#8860,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
Animal_Glue_#1363,0,1,1,0,10,25,0,369,0,0,0,0,0,0,0,0
darklordfawful666#8618,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rainy#0021,78,1,49,0,99,361,12,5170,0,0,0,0,0,0,0,0
aperez8696#9839,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
TheDarkBritish#1791,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0
